	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь		сумма	Перевод
	Люблю пивасик прохладным вечером	0	0	0	0	0	0	10		10	What could be better than a bottle of beer on a chill evening?
	Эти капиталисты забирают все наши деньги!				-5					-5	Those big companies are taking away our money!
	У моего дядюшки Клетуса своя мет-лаборатория!		10							10	My uncle Clethus has his own meth lab
	Мексиканцы, пуэрториканцы - какая разница ? 						8			8	Mexicans, Puerto-ricans, what the difference?
	Ирак и Иран разве не одно и то же ? 						8			8	Aren't Iraq and Iran the same goddamn place?
	Ах ты! Капиталистическая мразь!				-10					-10	You capitalist pig!
	Мой дед состоял в ККК						10			10	My grandpa was a KKK member
	Хочешь пива ? Или чего крепче ? 		5					9		14	Hey, wanna crack open a cold one? Or something harder?
	Бабе место на кухне					8				8	Women should know their place. At kitchen it is
	Эх, маловато мой батя мамку бил!					10				10	Dad didn't beat my mother nearly enough
	А ты из этих что ли? Из заднеприводных ? 			-10						-10	Are you one of those? Rear wheel drive?
	Видел бы все это Генерал Ли...					5	8			13	If only general Lee saw this...
	Выпьем за Конфедерацию!			-4	-3	5	10	8		16	Let's drink for the confederation!
	Проклятые копы накрыли мою плантацию травы		10		-3					7	
	Мы здесь таких как ты не любим!	-1	-2	-10	-5	9	9			0	
	Политики отняли всю нашу работу!				-6					-6	
	Я не считаю нужным платить налоги				-8					-8	
	Я хожу на семейные тусовки с целью подцепить телку!	-8								-8	
	Лучший самогон - это разбавленный бензин!									0	
	У меня есть одна книга. И это Библия!	9								9	
	Вздернуть бы тебя вон на том дереве, приятель			-10	-10	-10	-10			-40	
